id_Sidra,unit,value,types,year_month,year_harvest,product,created_at
59,Hectares,27433,Area plantada,2022-11-01,2022,Batata - inglesa (3ª Safra),2022-12-16 00:43:04.487222
60,Hectares,620258,Area plantada,2022-11-01,2022,Cacau,2022-12-16 00:43:04.487222
61,Hectares,1472727,Area plantada,2022-11-01,2022,Cafe arabica,2022-12-16 00:43:04.487222
62,Hectares,403118,Area plantada,2022-11-01,2022,Cafe canephora,2022-12-16 00:43:04.487222
63,Hectares,8839104,Area plantada,2022-11-01,2022,Cana-de-acucar,2022-12-16 00:43:04.487222
64,Hectares,425917,Area plantada,2022-11-01,2022,Castanha-de-caju,2022-12-16 00:43:04.487222
65,Hectares,328088,Area plantada,2022-11-01,2022,Fumo,2022-12-16 00:43:04.487222
66,Hectares,0,Area plantada,2022-11-01,2022,Juta,2022-12-16 00:43:04.487222
67,Hectares,596035,Area plantada,2022-11-01,2022,Laranja,2022-12-16 00:43:04.487222
68,Hectares,1277570,Area plantada,2022-11-01,2022,Mandioca,2022-12-16 00:43:04.487222
69,Hectares,54001,Area plantada,2022-11-01,2022,Tomate,2022-12-16 00:43:04.487222
70,Hectares,75639,Area plantada,2022-11-01,2022,Uva,2022-12-16 00:43:04.487222
73,Hectares,1375913,Area colhida,2022-11-01,2021,Algodao herbaceo,2022-12-16 00:43:04.487222
74,Hectares,174377,Area colhida,2022-11-01,2021,Amendoim (1ª Safra),2022-12-16 00:43:04.487222
75,Hectares,6922,Area colhida,2022-11-01,2021,Amendoim (2ª Safra),2022-12-16 00:43:04.487222
76,Hectares,1679497,Area colhida,2022-11-01,2021,Arroz,2022-12-16 00:43:04.487222
77,Hectares,475437,Area colhida,2022-11-01,2021,Aveia,2022-12-16 00:43:04.487222
78,Hectares,4758,Area colhida,2022-11-01,2021,Centeio,2022-12-16 00:43:04.487222
79,Hectares,115065,Area colhida,2022-11-01,2021,Cevada,2022-12-16 00:43:04.487222
80,Hectares,1435721,Area colhida,2022-11-01,2021,Feijao (1ª Safra),2022-12-16 00:43:04.487222
81,Hectares,1067582,Area colhida,2022-11-01,2021,Feijao (2ª Safra),2022-12-16 00:43:04.487222
82,Hectares,215721,Area colhida,2022-11-01,2021,Feijao (3ª Safra),2022-12-16 00:43:04.487222
83,Hectares,42047,Area colhida,2022-11-01,2021,Girassol,2022-12-16 00:43:04.487222
84,Hectares,46934,Area colhida,2022-11-01,2021,Mamona,2022-12-16 00:43:04.487222
85,Hectares,4959670,Area colhida,2022-11-01,2021,Milho (1ª Safra),2022-12-16 00:43:04.487222
86,Hectares,14334434,Area colhida,2022-11-01,2021,Milho (2ª Safra),2022-12-16 00:43:04.487222
87,Hectares,38974763,Area colhida,2022-11-01,2021,Soja,2022-12-16 00:43:04.487222
88,Hectares,858499,Area colhida,2022-11-01,2021,Sorgo,2022-12-16 00:43:04.487222
89,Hectares,2779150,Area colhida,2022-11-01,2021,Trigo,2022-12-16 00:43:04.487222
90,Hectares,16018,Area colhida,2022-11-01,2021,Triticale,2022-12-16 00:43:04.487222
91,Hectares,465502,Area colhida,2022-11-01,2021,Banana,2022-12-16 00:43:04.487222
92,Hectares,59330,Area colhida,2022-11-01,2021,Batata - inglesa (1ª Safra),2022-12-16 00:43:04.487222
93,Hectares,39337,Area colhida,2022-11-01,2021,Batata - inglesa (2ª Safra),2022-12-16 00:43:04.487222
94,Hectares,27019,Area colhida,2022-11-01,2021,Batata - inglesa (3ª Safra),2022-12-16 00:43:04.487222
95,Hectares,597228,Area colhida,2022-11-01,2021,Cacau,2022-12-16 00:43:04.487222
96,Hectares,1433881,Area colhida,2022-11-01,2021,Cafe arabica,2022-12-16 00:43:04.487222
97,Hectares,395392,Area colhida,2022-11-01,2021,Cafe canephora,2022-12-16 00:43:04.487222
98,Hectares,8858657,Area colhida,2022-11-01,2021,Cana-de-acucar,2022-12-16 00:43:04.487222
99,Hectares,426813,Area colhida,2022-11-01,2021,Castanha-de-caju,2022-12-16 00:43:04.487222
100,Hectares,337721,Area colhida,2022-11-01,2021,Fumo,2022-12-16 00:43:04.487222
101,Hectares,0,Area colhida,2022-11-01,2021,Juta,2022-12-16 00:43:04.487222
102,Hectares,585115,Area colhida,2022-11-01,2021,Laranja,2022-12-16 00:43:04.487222
103,Hectares,1232818,Area colhida,2022-11-01,2021,Mandioca,2022-12-16 00:43:04.487222
104,Hectares,54267,Area colhida,2022-11-01,2021,Tomate,2022-12-16 00:43:04.487222
105,Hectares,74331,Area colhida,2022-11-01,2021,Uva,2022-12-16 00:43:04.487222
108,Hectares,1622098,Area colhida,2022-11-01,2022,Algodao herbaceo,2022-12-16 00:43:04.487222
109,Hectares,210841,Area colhida,2022-11-01,2022,Amendoim (1ª Safra),2022-12-16 00:43:04.487222
110,Hectares,7304,Area colhida,2022-11-01,2022,Amendoim (2ª Safra),2022-12-16 00:43:04.487222
111,Hectares,1626175,Area colhida,2022-11-01,2022,Arroz,2022-12-16 00:43:04.487222
112,Hectares,506071,Area colhida,2022-11-01,2022,Aveia,2022-12-16 00:43:04.487222
113,Hectares,5249,Area colhida,2022-11-01,2022,Centeio,2022-12-16 00:43:04.487222
114,Hectares,130486,Area colhida,2022-11-01,2022,Cevada,2022-12-16 00:43:04.487222
115,Hectares,1425528,Area colhida,2022-11-01,2022,Feijao (1ª Safra),2022-12-16 00:43:04.487222
